UVXY
date;open;high;low;close;volume;adjClose
27.08.2013;20780;22350;20195;44,200001;18400;22100
28.08.2013;22410;22985;21275;43,850002;14400;21925
29.08.2013;22620;22955;21600;45,850002;12300;22925
30.08.2013;22585;24295;22575;46,950001;17300;23475
03.09.2013;21385;22670;21180;43,380001;14200;21690
04.09.2013;21730;22025;21275;43,120003;8700;21560
05.09.2013;21485;21635;20505;41,299999;6700;20650
06.09.2013;20040;22140;19915;41,820004;17300;20910
09.09.2013;20480;20725;19190;38,700001;10000;19350
10.09.2013;18240;18510;17930;35,900002;10000;17950
11.09.2013;18130;18265;16685;33,650002;10500;16825
12.09.2013;16715;17440;16255;34,700001;10600;17350
13.09.2013;16700;17475;16550;33,66;8000;16830
16.09.2013;16065;16770;15985;33,120003;9200;16560
17.09.2013;16420;16450;16015;32,34;7900;16170
18.09.2013;16305;16740;14580;29,940001;19000;14970
19.09.2013;14550;15140;14440;29,65;9900;14825
20.09.2013;14840;15335;14500;30,639999;14700;15320
23.09.2013;15265;16280;15120;31,460001;14200;15730
24.09.2013;15515;15880;15000;31,080002;11400;15540
25.09.2013;15455;15860;15100;30,85;14400;15425
26.09.2013;14975;15345;14790;29,730001;13600;14865
27.09.2013;15330;16345;15250;32,139999;20100;16070
30.09.2013;17490;17640;16400;34,34;23600;17170
01.10.2013;17235;17350;16005;32,010002;14800;16005
02.10.2013;16670;17275;16260;33,950001;14100;16975
